# emacs-kp dictionary manifest version 1
# upstream	https://github.com/LibreOffice/dictionaries.git
# upstream-commit	8fb8e794237cff49ec212023f96bcdb7d3fbf56c
# normalization	CRLF is converted to LF; hyph_sr-Latn.dic is renamed hyph_sr_Latn.dic
# columns	file	source-path	sha256	license-evidence	unsupported-slash-patterns
hyph_or_IN.dic	or_IN/hyph_or_IN.dic	264b3a880fc7dc9f477abac80708172144ec3bb28baa8266539fe7ffff7a8a30	embedded	0
hyph_pa_IN.dic	pa_IN/hyph_pa_IN.dic	87b2e3d7dc8cc4e4f0bb1d6f4265e8d8eefa478fbc890a60839868af4f5c2c06	embedded	0
hyph_pl_PL.dic	pl_PL/hyph_pl_PL.dic	9fe3917ec1fb09b7ffa560e85fb810e098d45a9a45ad6d5c08311544dd92a100	README_hyph_pl_PL.txt	0
hyph_pt_BR.dic	pt_BR/hyph_pt_BR.dic	a8eb1a64e4af4649c739211b397fa37b01f9d5774cf558fe3895fc3f26fd33a4	README_hyph_pt_BR.txt	0
hyph_pt_PT.dic	pt_PT/hyph_pt_PT.dic	6f18ee89de6db21d9b06120a5527ec41d8132514fc112ccfe7d289ba91649840	README_hyph_pt_PT.txt	0
hyph_ro_RO.dic	ro/hyph_ro_RO.dic	24adbfe7cc2267ea5ce4afd34f7d69da5a9163ef3dd57b158bbb196b9d651e94	embedded	0
hyph_ru_RU.dic	ru_RU/hyph_ru_RU.dic	e9a6ae92765fc7e63d879f2ccf3f50f2b95bc8ed7618a6f31c34ce7d39844c83	LICENSES.md	0
hyph_sk_SK.dic	sk_SK/hyph_sk_SK.dic	7359863ec5d5dbbf35c7d4f38faca1af7b43bc4aa643871e63f2dc0dfac4f922	README_hyph_sk_SK.txt	0
hyph_sl_SI.dic	sl_SI/hyph_sl_SI.dic	3d9026755aa0936e9331595a08bb65c295ccac84acefe58cb6c9fe2ff11ceef8	README_hyph_sl_SI.txt	0
hyph_sq_AL.dic	sq_AL/hyph_sq_AL.dic	99fbce3b0e60cc500e45643dd40903dfa71cfc1605a5b139cfb22129bd665dbe	README_hyph_sq_AL.txt	1
hyph_sr.dic	sr/hyph_sr.dic	ce785026592f525c38e67152699224d47a4cdf555a1a4eb65d50458c5548f69f	README_hyph_sr.txt	0
hyph_sr_Latn.dic	sr/hyph_sr-Latn.dic	b423f910400472979a2b0fe1c95965c940e927f7588dace0e42c17f7b0663376	README_hyph_sr.txt	0
hyph_sv.dic	sv_SE/hyph_sv.dic	44c5a59f1ef8a17b9433e4510a1abcac753d34ac875dc27ea95427f1e581f17b	README_hyph_sv.txt	0
hyph_te_IN.dic	te_IN/hyph_te_IN.dic	2ad470071dfd9bb3ad5101d528e1fb0090d96c841c4f2bb07b325476b3c853fe	embedded	0
hyph_th_TH.dic	th_TH/hyph_th_TH.dic	fbd19d561c19a13d1901a0b9653e24b4c0c2c81177064266e2acb23bac68145b	README_hyph_th_TH.txt	0
hyph_uk_UA.dic	uk_UA/hyph_uk_UA.dic	ae80645b757d6b57e5cdf34ab6cf7441a2414c60bff2352c7e815c1c12baad3d	README_hyph_uk_UA.txt	0
hyph_zu_ZA.dic	zu_ZA/hyph_zu_ZA.dic	e75802e08127877d38891c140e8989af559665bae82f94d33c340cba2aa9de20	embedded	0
